"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0433,2.689,0.001,2.657,-0.005
0.0434,2.691,0.002,2.665,0.004
0.0435,2.683,-0.005,2.653,-0.008
0.0436,2.688,0.000,2.659,-0.002
0.0437,2.689,0.001,2.668,0.006
0.0438,2.687,-0.001,2.657,-0.005
0.0439,2.691,0.002,2.663,0.001
0.0440,2.687,-0.001,2.664,0.003
0.0441,2.689,0.001,2.659,-0.002
0.0442,2.692,0.003,2.663,0.001
0.0443,2.687,-0.001,2.663,0.001
0.0444,2.687,-0.001,2.656,-0.006
0.0445,2.693,0.005,2.665,0.004
0.0446,2.688,0.000,2.663,0.001
0.0447,2.692,0.003,2.661,-0.001
0.0448,2.691,0.002,2.665,0.004
0.0449,2.685,-0.004,2.661,-0.001
0.0450,2.686,-0.003,2.659,-0.002
0.0451,2.692,0.003,2.668,0.006
0.0452,2.685,-0.004,2.661,-0.001
0.0453,2.688,0.000,2.658,-0.004
0.0454,2.688,0.000,2.664,0.003
0.0455,2.683,-0.005,2.659,-0.002
0.0456,2.692,0.003,2.667,0.005
0.0457,2.693,0.005,2.669,0.007
0.0458,2.686,-0.003,2.657,-0.005
0.0459,2.693,0.005,2.665,0.004
0.0460,2.692,0.003,2.664,0.003
0.0461,2.685,-0.004,2.656,-0.006
0.0462,2.692,0.003,2.667,0.005
0.0463,2.692,0.003,2.668,0.006
0.0464,2.691,0.002,2.658,-0.004
0.0465,2.692,0.003,2.663,0.001
0.0466,2.687,-0.001,2.664,0.003
0.0467,2.686,-0.003,2.656,-0.006
0.0468,2.687,-0.001,2.659,-0.002
0.0469,2.683,-0.005,2.662,0.000
0.0470,2.687,-0.001,2.657,-0.005
0.0471,2.691,0.002,2.667,0.005
0.0472,2.681,-0.008,2.657,-0.005
0.0473,2.686,-0.003,2.654,-0.007
0.0474,2.688,0.000,2.664,0.003
0.0475,2.687,-0.001,2.661,-0.001
0.0476,2.691,0.002,2.658,-0.004
0.0477,2.689,0.001,2.664,0.003
0.0478,2.688,0.000,2.657,-0.005
0.0479,2.691,0.002,2.659,-0.002
0.0480,2.691,0.002,2.667,0.005
0.0481,2.692,0.003,2.659,-0.002
0.0482,2.693,0.005,2.664,0.003
0.0483,2.686,-0.003,2.663,0.001
0.0484,2.683,-0.005,2.654,-0.007
0.0485,2.693,0.005,2.667,0.005
0.0486,2.683,-0.005,2.665,0.004
0.0487,2.685,-0.004,2.659,-0.002
0.0488,2.686,-0.003,2.659,-0.002
0.0489,2.685,-0.004,2.663,0.001
0.0490,2.692,0.003,2.659,-0.002
0.0491,2.692,0.003,2.667,0.005
0.0492,2.686,-0.003,2.659,-0.002
0.0493,2.687,-0.001,2.657,-0.005
0.0494,2.692,0.003,2.665,0.004
0.0495,2.681,-0.008,2.653,-0.008
0.0496,2.689,0.001,2.659,-0.002
0.0497,2.687,-0.001,2.663,0.001
0.0498,2.683,-0.005,2.657,-0.005
0.0499,2.689,0.001,2.663,0.001
0.0500,2.691,0.002,2.669,0.007
0.0501,2.691,0.002,2.664,0.003
0.0502,2.692,0.003,2.658,-0.004
0.0503,2.689,0.001,2.667,0.005
0.0504,2.689,0.001,2.659,-0.002
0.0505,2.692,0.003,2.665,0.004
0.0506,2.692,0.003,2.668,0.006
0.0507,2.689,0.001,2.659,-0.002
0.0508,2.697,0.008,2.671,0.010
0.0509,2.691,0.002,2.667,0.005
0.0510,2.687,-0.001,2.657,-0.005
0.0511,2.691,0.002,2.663,0.001
0.0512,2.681,-0.008,2.657,-0.005
0.0513,2.687,-0.001,2.657,-0.005
0.0514,2.692,0.003,2.665,0.004
0.0515,2.686,-0.003,2.659,-0.002
0.0516,2.689,0.001,2.659,-0.002
0.0517,2.694,0.006,2.669,0.007
0.0518,2.687,-0.001,2.658,-0.004
0.0519,2.691,0.002,2.664,0.003
0.0520,2.691,0.002,2.669,0.007
0.0521,2.688,0.000,2.665,0.004
0.0522,2.694,0.006,2.665,0.004
0.0523,2.687,-0.001,2.662,0.000
0.0524,2.685,-0.004,2.659,-0.002
0.0525,2.693,0.005,2.668,0.006
0.0526,2.689,0.001,2.668,0.006
0.0527,2.688,0.000,2.664,0.003
0.0528,2.692,0.003,2.668,0.006
0.0529,2.683,-0.005,2.661,-0.001
0.0530,2.683,-0.005,2.657,-0.005
0.0531,2.691,0.002,2.665,0.004
0.0532,2.681,-0.008,2.656,-0.006
0.0533,2.689,0.001,2.657,-0.005
0.0534,2.692,0.003,2.662,0.000
0.0535,2.682,-0.006,2.654,-0.007
0.0536,2.691,0.002,2.658,-0.004
0.0537,2.691,0.002,2.667,0.005
0.0538,2.691,0.002,2.663,0.001
0.0539,2.695,0.007,2.669,0.007
0.0540,2.697,0.008,2.673,0.011
0.0541,2.695,0.007,2.670,0.009
0.0542,2.694,0.006,2.667,0.005
0.0543,2.687,-0.001,2.665,0.004
0.0544,2.683,-0.005,2.657,-0.005
0.0545,2.689,0.001,2.664,0.003
0.0546,2.686,-0.003,2.662,0.000
0.0547,2.691,0.002,2.664,0.003
0.0548,2.697,0.008,2.665,0.004
0.0549,2.688,0.000,2.663,0.001
0.0550,2.687,-0.001,2.658,-0.004
0.0551,2.689,0.001,2.663,0.001
0.0552,2.683,-0.005,2.659,-0.002
0.0553,2.688,0.000,2.658,-0.004
0.0554,2.692,0.003,2.667,0.005
0.0555,2.682,-0.006,2.656,-0.006
0.0556,2.685,-0.004,2.656,-0.006
0.0557,2.689,0.001,2.663,0.001
0.0558,2.682,-0.006,2.653,-0.008
0.0559,2.691,0.002,2.661,-0.001
0.0560,2.688,0.000,2.665,0.004
0.0561,2.686,-0.003,2.659,-0.002
0.0562,2.686,-0.003,2.659,-0.002
0.0563,2.687,-0.001,2.661,-0.001
0.0564,2.685,-0.004,2.658,-0.004
0.0565,2.688,0.000,2.663,0.001
0.0566,2.687,-0.001,2.663,0.001
0.0567,2.691,0.002,2.658,-0.004
